elapsed (s);x-axis (g);y-axis (g);z-axis (g);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
4.27;-1.026;0.081;-0.229;0.602;0.13;0.053
4.28;-1.031;0.082;-0.229;0.495;0.168;0.046
4.29;-1.028;0.08;-0.233;0.381;0.259;0.053
4.3;-1.029;0.083;-0.234;0.244;0.229;-0.008
4.31;-1.034;0.083;-0.233;0.16;0.099;-0.076
4.32;-1.032;0.082;-0.234;0.145;0.122;0.023
4.33;-1.026;0.084;-0.236;0.366;0.259;0.076
4.34;-1.029;0.085;-0.235;0.381;0.351;0.069
4.35;-1.03;0.085;-0.239;0.274;0.358;0.076
4.36;-1.03;0.084;-0.239;0.366;0.244;0.122
4.37;-1.031;0.084;-0.232;0.335;0.122;0.076
4.38;-1.029;0.083;-0.232;0.45;0.13;-0.076
4.39;-1.028;0.082;-0.232;0.518;0.168;-0.16
4.4;-1.031;0.084;-0.233;0.488;0.03;-0.221
4.41;-1.033;0.085;-0.235;0.183;0.122;-0.099
4.42;-1.029;0.083;-0.233;-0.038;0.13;0.023
4.43;-1.028;0.082;-0.231;-0.13;0.183;0.145
4.44;-1.025;0.081;-0.229;0.046;0.244;0.061
4.45;-1.03;0.082;-0.233;0.274;0.091;-0.076
4.46;-1.031;0.08;-0.233;0.305;0.038;-0.015
