elapsed(s);x-axis (g);y-axis (g);z-axis (g);x-axis(deg/s);y-axis(deg/s);z-axis(deg/s)
3.26;-0.988;0.169;0.052;-7.691;78.788;-25.046
3.27;-1.001;0.174;0.142;0.427;80.831;-20.747
3.28;-1.043;0.228;0.221;13.034;77.447;-9.855
3.29;-1.044;0.256;0.207;21.128;68.338;1.517
3.3;-1.112;0.28;0.145;20.442;64.855;5.694
3.31;-1.092;0.295;0.128;20.175;53.75;3.445
3.32;-1.032;0.346;0.138;23.117;47.691;-1.669
3.33;-1.021;0.359;0.072;16.944;50.816;-9.017
3.34;-1.024;0.312;0.018;6.418;54.649;-15.724
3.35;-0.954;0.266;0.037;-1.715;56.486;-19.718
3.36;-0.962;0.175;-0.015;-5.274;69.527;-24.238
3.37;-1;0.07;-0.063;-2.157;79.101;-27.744
3.38;-1.028;-0.005;-0.104;4.276;82.576;-29.512
3.39;-1.06;-0.04;-0.14;11.174;82.98;-29.741
3.4;-1.075;-0.021;-0.159;16.22;80.366;-29.527
3.41;-1.066;0.044;-0.157;17.675;75.465;-28.666
3.42;-1.058;0.121;-0.137;16.822;70.64;-27.797
3.43;-1.047;0.174;-0.106;14.832;66.532;-27.233
3.44;-1.018;0.207;-0.07;12.081;63.895;-26.562
3.45;-0.996;0.193;-0.014;10.13;64.306;-26.311
3.46;-0.983;0.139;0.031;12.652;67.172;-27.927
3.47;-0.98;0.084;0.027;20.381;71.349;-31.463
3.48;-1.004;0.038;-0.018;29.771;75;-35.816
3.49;-1.042;0.014;-0.093;37.454;75.587;-39.947
3.5;-1.069;0.014;-0.151;38.011;72.508;-41.395
3.51;-1.126;0.026;-0.194;32.035;67.309;-39.741
3.52;-1.138;0.085;-0.233;26.387;58.864;-38.026
3.53;-1.095;0.21;-0.246;20.983;49.924;-38.148
3.54;-1.105;0.313;-0.24;15.739;46.989;-40.938
3.55;-1.171;0.327;-0.207;12.355;46.852;-43.841
3.56;-1.223;0.309;-0.146;9.207;43.049;-42.454
3.57;-1.233;0.341;-0.04;7.668;35.442;-37.447
3.58;-1.216;0.458;0.068;10.252;25.694;-33.483
3.59;-1.285;0.568;0.168;17.012;18.91;-31.311
3.6;-1.506;0.52;0.324;25.114;14.604;-28.331
3.61;-1.606;0.325;0.54;32.081;-1.898;-25.175
3.62;-1.45;0.221;0.799;42.919;-31.814;-21.006
3.63;-1.27;0.298;1.071;67.005;-61.12;-18.308
3.64;-1.419;0.57;1.405;91.059;-84.794;-23.651
3.65;-0.698;0.436;1.177;73.758;-142.668;-56.09
3.66;-0.429;-0.198;0.829;106.867;-9.992;-112.271
3.67;-2.445;0.083;-0.693;93.018;161.662;-35.274
3.68;-1.676;0.601;-0.101;105.518;-85.008;-13.666
3.69;-1.33;0.436;-0.158;86.174;-74.413;-12.736
3.7;-1.76;0.297;-0.678;77.904;-26.623;-5.442
3.71;-1.821;0.218;-0.735;64.39;-61.692;7.752
3.72;-1.484;0.201;-0.5;34.36;-97.957;22.668
3.73;-1.34;0.104;-0.394;-4.276;-90.008;30.892
3.74;-1.376;-0.107;-0.423;-37.34;-71.326;36.593
3.75;-1.457;-0.304;-0.532;-47.363;-58.963;39.733
3.76;-1.566;-0.311;-0.635;-31.684;-53.689;41.57
3.77;-1.512;-0.23;-0.703;-15.008;-62.546;44.337
3.78;-1.35;-0.151;-0.657;-9.809;-73.407;49.177
3.79;-1.244;-0.102;-0.603;-14.634;-76.448;55.998
3.8;-1.216;-0.074;-0.607;-24.809;-75.854;62.721
3.81;-1.2;-0.093;-0.632;-38.88;-77.005;70.503
3.82;-1.161;-0.141;-0.643;-52.317;-81.037;78.338
3.83;-1.135;-0.226;-0.651;-61.806;-86.265;84.184
3.84;-1.096;-0.28;-0.681;-64.345;-92.698;88.498
3.85;-1.071;-0.28;-0.712;-62.363;-99.466;90.709
3.86;-1.028;-0.283;-0.739;-61.997;-106.989;91.593
3.87;-0.97;-0.29;-0.75;-64.207;-114.505;92.127
3.88;-0.911;-0.306;-0.749;-68.666;-121.486;91.654
3.89;-0.859;-0.338;-0.747;-72.172;-126.761;90.259
3.9;-0.8;-0.382;-0.736;-71.029;-131.982;88.803
3.91;-0.764;-0.401;-0.748;-63.308;-136.044;86.341
3.92;-0.749;-0.394;-0.756;-55.945;-139.535;83.476
3.93;-0.714;-0.387;-0.754;-51.654;-143.681;80.884
3.94;-0.689;-0.368;-0.74;-46.601;-146.959;79.459
3.95;-0.674;-0.323;-0.704;-40.312;-149.52;79.2
3.96;-0.653;-0.288;-0.624;-39.123;-151.608;79.588
3.97;-0.583;-0.252;-0.514;-43.636;-148.986;82.835
3.98;-0.451;-0.254;-0.417;-53.178;-134.939;85.579
3.99;-0.598;-0.266;-0.355;-59.97;-106.12;88.704
4;-0.896;-0.282;-0.327;-68.163;-103.613;88.544
4.01;-1.05;-0.214;-0.244;-72.546;-132.248;87.088
4.02;-1.042;-0.08;-0.117;-78.773;-157.317;88.011
4.03;-0.962;0.067;0.11;-82.409;-164.276;91.006
4.04;-0.737;0.241;0.426;-86.677;-168.971;96.029
4.05;-0.327;0.488;0.903;-105.808;-160.816;96.059
4.06;0.072;0.819;1.523;-122.553;-137.912;96.555
4.07;0.299;0.722;1.982;-130.77;-84.276;71.288
4.08;-0.474;0.426;1.914;-99.794;41.753;18.239
4.09;-0.864;0.088;1.58;-46.517;69.383;-26.814
4.1;-0.7;-0.072;0.96;-10.16;64.55;-49.482
4.11;-0.597;-0.057;0.234;9.741;83.75;-46.776
4.12;-0.596;0.047;-0.141;29.848;105.305;-41.944
4.13;-0.65;0.036;-0.429;37.165;121.768;-40.587
4.14;-1.307;-0.045;-0.387;27.096;171.784;-49.238
4.15;-2.962;0.246;-0.313;25.572;229.718;-38.43
4.16;-3.68;0.957;0.297;42.713;113.613;-18.895
4.17;-2.001;0.75;1.059;-2.149;-71.235;-2.896
4.18;-0.369;-0.019;0.851;-80.998;-88.636;3.163
4.19;0.479;-0.554;0.182;-119.672;9.954;-6.441
4.2;-0.422;-0.258;-0.483;-53.834;199.055;12.538
4.21;-0.966;-0.37;-0.991;-22.736;157.081;-33.72
4.22;-0.921;-0.405;-0.725;19.787;69.154;-53.887
4.23;-1.157;-0.188;-0.713;49.215;77.195;-34.543
4.24;-1.35;0.214;-0.726;82.317;84.924;-16.799
4.25;-1.469;0.479;-0.646;85.084;81.265;-4.261
4.26;-1.246;0.282;-0.466;54.84;63.338;-6.151
4.27;-0.985;0.014;-0.295;31.997;62.538;-12.477
4.28;-0.913;-0.112;-0.227;28.689;76.296;-24.07
4.29;-1.006;0.027;-0.268;36.692;86.723;-33.338
4.3;-1.102;0.239;-0.318;36.982;88.072;-39.345
4.31;-1.12;0.331;-0.307;22.561;88.72;-41.959
