elapsed (s);x-axis (g);y-axis (g);z-axis (g);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
3.19;-1.061;-0.071;0.852;31.578;29.588;28.605
3.2;-0.97;0.153;0.658;15.152;44.832;39.489
3.21;-0.873;0.313;0.441;-7.256;68.011;46.433
3.22;-0.871;0.439;0.113;-36.829;107.226;44.223
3.23;-1.577;0.559;-0.192;-78.537;113.849;30.465
3.24;-2.454;0.542;-0.332;-126.349;64.733;12.82
3.25;-2.359;0.298;-0.309;-172.927;17.767;10.663
3.26;-1.695;-0.021;0.036;-190.899;8.803;29.558
3.27;-1.012;-0.176;0.25;-168.857;31.669;42.279
3.28;-0.618;-0.294;0.18;-121.227;58.91;45.747
3.29;-0.542;-0.376;0.017;-61.372;71.54;46.951
3.3;-0.612;-0.299;-0.1;-3.285;73.064;47.409
3.31;-0.747;-0.085;-0.186;41.341;70.213;48.133
3.32;-0.875;0.169;-0.292;64.268;65.13;47.919
3.33;-0.945;0.358;-0.363;66.456;58.689;47.287
3.34;-0.998;0.428;-0.37;57.927;51.89;48.224
3.35;-1.022;0.43;-0.325;45.023;46.181;47.302
3.36;-0.983;0.406;-0.246;30.221;48.232;41.044
3.37;-0.899;0.324;-0.214;22.325;60.991;32.965
3.38;-0.918;0.213;-0.222;18.293;73.681;29.284
3.39;-0.99;0.158;-0.265;9.596;82.424;30.442
3.4;-1.025;0.165;-0.285;1.014;87.957;33.43
3.41;-1.056;0.162;-0.271;1.143;89.047;36.364
3.42;-1.089;0.119;-0.235;11.021;85.694;39.002
3.43;-1.09;0.068;-0.158;28.735;81.784;41.021
3.44;-1.049;0.059;-0.097;50.495;80.465;40.915
3.45;-0.983;0.11;-0.074;66.197;81.784;38.369
3.46;-0.938;0.182;-0.105;72.34;84.581;34.276
3.47;-0.949;0.245;-0.136;70.495;85.404;30.076
3.48;-0.982;0.285;-0.143;62.675;85.755;28.323
3.49;-1.02;0.322;-0.127;48.323;86.395;29.207
3.5;-1.044;0.338;-0.104;32.614;86.479;30.518
3.51;-1.039;0.322;-0.08;22.797;86.768;30.762
3.52;-1.022;0.281;-0.066;21.761;87.782;29.642
3.53;-1.012;0.248;-0.075;24.848;88.064;27.934
3.54;-1.01;0.228;-0.094;28.11;87.851;26.433
3.55;-1.015;0.224;-0.109;29.855;87.34;25.259
3.56;-1.023;0.229;-0.114;29.116;86.197;24.779
3.57;-1.024;0.232;-0.113;26.898;85.297;25.389
3.58;-1.008;0.223;-0.109;25.953;85.457;26.319
3.59;-0.996;0.21;-0.118;25.938;87.233;26.601
3.6;-1.009;0.193;-0.142;25.785;88.88;26.677
3.61;-1.033;0.19;-0.184;25.381;88.369;26.288
3.62;-1.048;0.199;-0.219;26.113;85.846;24.916
3.63;-1.049;0.216;-0.239;27.119;82.835;22.454
3.64;-1.049;0.232;-0.239;26.883;79.375;19.992
3.65;-1.056;0.23;-0.219;24.886;75.678;18.178
